Annotation	Annotation type	Estimate	Std. Error	t value	Pr(>|t|)	P.adjust
(Intercept)	(Intercept)		-15.8626190338427	0.00383117024931722	-4140.41089316502	0	0
cis_genes_TCGA	Cis eQTL (TCGA)	eQTL	0.104155116591619	0.00414191269365046	25.1466228999197	1.65800119721414e-139	1.27666092185489e-137
cis_genes_GTEx	Cis eQTL (GTEx)	eQTL	0.0713418288569305	0.00452699817706635	15.7591909840711	6.00800676772868e-56	4.5660851434738e-54
EP_genes_hichip_LNCaP	Enhancer (H3K27ac HiChIP, LNCaP)	Enhancer	0.0597357268508452	0.00405648346925591	14.725987990234	4.42904125916193e-49	3.32178094437145e-47
H3K36me3	H3K36me3	HM ChIP-seq	0.0345021650046571	0.003220933751206	10.7118518012792	8.97760295200665e-27	6.64342618448492e-25
H3K4me1	H3K4me1	HM ChIP-seq	0.0220615911888437	0.00263770114917739	8.36394645986488	6.07113397657045e-17	4.43192780289643e-15
LD_score	log(LD score)		-0.00906855251952692	0.00118737668093543	-7.63746893899129	2.21678686477655e-14	1.59608654263912e-12
MAF	log(f(1-f))		0.00453643521495619	0.000674382200061809	6.72680152966733	1.73502096987575e-11	1.23186488861178e-09
R5	In 5' gene region	Gene-based	0.0186774105574262	0.00287803723561159	6.48963478523487	8.60744679226472e-11	6.0252127545853e-09
trans_genes_TCGA	Trans eQTL (TCGA)	eQTL	0.358438474506598	0.0569169538059078	6.29756953839987	3.02441752987976e-10	2.08684809561703e-08
POLR2A	POLR2A	TF ChIP-seq	0.0480531717447355	0.00852297811595223	5.63807287675604	1.71998117126025e-08	1.16958719645697e-06
H3K79me2	H3K79me2	HM ChIP-seq	0.0312739127914683	0.00557135582305466	5.61333969409289	1.98497463636173e-08	1.32993300636236e-06
EP_genes_22Rv1	Enhancer (Hi-C,22Rv1)	Enhancer	0.0365109245931751	0.0066315608048624	5.50563067542176	3.6791604336965e-08	2.42824588623969e-06
EP_genes_RWPE1	Enhancer (Hi-C,RWPE1)	Enhancer	0.0324064176515842	0.00604078037537238	5.36460782181417	8.11386627842806e-08	5.27401308097824e-06
