block	start	stop	num_variants	num_variants_in	num_variants_in_0.95	num_variants_in_0.5	num_CS95	num_variants_CS95	num_variants_in_CS95	risk	h2_beta_mean	h2_beta_sd
1	20030951	22568100	79	6	0	0	0	0	0	FALSE	4.94593458239357e-7	5.68072055699898e-6
2	22751868	23040856	613	174	0	0	0	0	0	FALSE	6.89045669125328e-6	1.38754083046483e-5
3	23042155	23253030	161	44	0	0	0	0	0	FALSE	1.46004193549555e-6	4.91135989957519e-6
4	23660570	23954677	522	131	0	0	0	0	0	FALSE	5.54775526417344e-6	1.22754230420199e-5
5	23955391	24043143	178	63	0	0	0	0	0	FALSE	1.79267751553409e-6	5.53652859502735e-6
6	24043601	24095701	132	31	0	0	0	0	0	FALSE	1.01881941794379e-6	4.14847058356742e-6
7	24096986	25107627	4406	465	0	0	0	0	0	FALSE	1.43172533501787e-5	1.67253830430921e-5
8	25108838	25172192	165	76	0	0	0	0	0	FALSE	2.42678610753946e-6	6.58222568943197e-6
9	25176517	25914195	1984	528	0	0	0	0	0	FALSE	2.79827273225444e-5	2.91598151803796e-5
10	25915802	26186280	789	276	0	0	0	0	0	FALSE	9.32395879745517e-6	1.32549293875443e-5
11	26186978	26394928	616	174	0	0	0	0	0	FALSE	5.41178541944366e-6	9.78106751087164e-6
12	26401453	26886442	1080	290	0	0	0	0	0	FALSE	1.14297306169501e-5	1.71826871714252e-5
13	26887879	27221641	799	211	0	0	0	0	0	FALSE	8.74545423856104e-6	1.51295206889399e-5
14	27222401	27477251	480	130	0	0	0	0	0	FALSE	4.13315551711193e-6	8.84721878158702e-6
15	27481781	27735953	481	128	0	0	0	0	0	FALSE	2.93222896590442e-5	4.30586003099644e-5
16	27741652	29005631	1769	307	0	0	0	0	0	FALSE	1.16489243407432e-5	1.61890694661208e-5
17	29035294	29426782	596	113	0	0	0	0	0	FALSE	3.75813214138651e-6	8.84442337429254e-6
18	29428499	29449729	53	15	0	0	0	0	0	FALSE	5.06252475415911e-7	3.04248816136746e-6
19	29450276	29892225	1004	186	0	0	0	0	0	FALSE	7.78130632424538e-6	1.45652211863744e-5
