block	start	stop	num_variants	num_variants_in	num_variants_in_0.95	num_variants_in_0.5	num_CS95	num_variants_CS95	num_variants_in_CS95	risk	h2_beta_mean	h2_beta_sd
1	186059	300364	322	58	0	0	0	0	0	FALSE	1.75174942080417e-6	5.42539259194022e-6
2	303148	340901	51	31	0	0	0	0	0	FALSE	1.0286779720109e-6	4.07341584114375e-6
3	341301	1059587	1948	520	0	0	0	0	0	FALSE	1.71461474373343e-5	1.79283935209754e-5
4	1060934	1870211	2748	632	0	1	1	100	5	TRUE	1.96497285790558e-4	8.58303145990066e-5
5	1871972	2043867	453	179	0	0	0	0	0	FALSE	1.59571319851882e-5	2.63870425467993e-5
6	2044067	2462012	1148	275	1	1	1	33	1	TRUE	0.00214021965699074	2.51414528014296e-4
7	2470093	2584284	182	79	0	0	0	0	0	FALSE	3.05025576743279e-6	8.25013258627328e-6
8	2584917	3279297	1517	575	0	0	0	0	0	FALSE	8.8008445728797e-5	6.39447367517198e-5
9	3362853	3662302	538	105	0	0	0	0	0	FALSE	3.44106758909895e-6	8.74118944917632e-6
10	3666881	4405562	1632	281	0	0	0	0	0	FALSE	2.51791765738763e-5	3.38939643851194e-5
11	4407244	5249290	3552	696	0	0	0	0	0	FALSE	4.58644207367536e-5	4.23699753617611e-5
12	5249570	6322284	4712	885	0	0	0	0	0	FALSE	3.4717522262655e-5	2.89900202751815e-5
13	6324634	6434317	223	91	0	0	0	0	0	FALSE	2.82671323483849e-6	7.07301585407073e-6
14	6435488	6473013	51	15	0	0	0	0	0	FALSE	4.14970841608173e-7	2.37958023041317e-6
15	6476035	6623433	302	96	0	0	0	0	0	FALSE	3.49994676603821e-6	8.87453944690355e-6
16	6623918	7271513	2174	397	0	0	0	0	0	FALSE	1.6113585142179e-5	2.08370142806523e-5
17	7271898	7635723	1218	311	0	1	1	9	3	TRUE	2.02671929633983e-4	8.90023602174738e-5
