block	start	stop	num_variants	num_variants_in	num_variants_in_0.95	num_variants_in_0.5	num_CS95	num_variants_CS95	num_variants_in_CS95	risk	h2_beta_mean	h2_beta_sd
1	83802	794223	1534	403	0	0	0	0	0	FALSE	1.72815885154487e-5	2.25356935521944e-5
2	798489	1037099	986	214	0	0	0	0	0	FALSE	1.54183196591289e-5	2.40342215638824e-5
3	1038890	1171424	393	112	0	0	0	0	0	FALSE	3.56777264108672e-6	8.61345437901141e-6
4	1178619	2085295	3057	696	0	0	0	0	0	FALSE	7.2241710859263e-5	5.52975530573402e-5
5	2087562	2368169	334	114	0	0	0	0	0	FALSE	6.84911221928885e-6	1.4332790958094e-5
6	2369774	2824984	386	92	0	0	0	0	0	FALSE	4.10558939929235e-6	1.05719544007137e-5
7	2827973	3116295	628	190	0	0	0	0	0	FALSE	2.37633109838555e-5	3.45979001915274e-5
8	3117937	4046041	1794	473	0	0	0	0	0	FALSE	3.66478470102768e-5	3.93973189145281e-5
9	4047746	4276056	640	185	0	0	0	0	0	FALSE	6.40479232758225e-6	1.11627585684603e-5
10	4277445	5117607	2073	604	0	1	0	0	0	FALSE	1.49983018842739e-4	8.69038706163721e-5
11	5117847	5460977	928	283	0	0	0	0	0	FALSE	1.79457860393385e-5	2.85272992178445e-5
12	5462905	5890175	1586	443	0	0	0	0	0	FALSE	1.39636838930085e-5	1.58321113833671e-5
13	5891004	5996343	337	126	0	0	0	0	0	FALSE	4.99685868758594e-6	1.03303948276348e-5
14	5998478	6032363	73	47	0	0	0	0	0	FALSE	1.3259456805756e-6	4.43766601147823e-6
15	6032937	6145849	375	144	0	0	0	0	0	FALSE	3.82136867303451e-6	7.35254756265519e-6
16	6147581	6245333	264	102	0	0	0	0	0	FALSE	4.32157511596414e-6	1.0751849280384e-5
17	6248247	6443744	534	161	0	0	0	0	0	FALSE	4.77928654170313e-6	9.11149876593556e-6
18	6445445	6651204	632	172	0	0	0	0	0	FALSE	5.34947899188134e-6	1.03785532881959e-5
19	6651705	7046176	1945	480	0	0	0	0	0	FALSE	1.81637851440051e-5	2.06552815268592e-5
20	7047105	7526777	2212	522	0	0	0	0	0	FALSE	1.66438396248245e-5	1.78726131097822e-5
21	7529955	7636228	538	150	0	0	0	0	0	FALSE	4.79512386663433e-6	9.12554215061306e-6
22	7636315	8047958	1747	515	0	0	0	0	0	FALSE	2.55950860284965e-5	2.82730151661159e-5
23	8049280	8337803	1321	246	0	0	0	0	0	FALSE	1.04960467679528e-5	1.68079651665655e-5
24	8339239	8822044	1929	482	0	0	0	0	0	FALSE	1.97357939142421e-5	2.40838786595688e-5
25	8822199	9101544	874	238	0	0	0	0	0	FALSE	4.2278825258684e-5	5.84066952210504e-5
26	9102931	9663655	1700	470	0	0	0	0	0	FALSE	1.35814446354924e-5	1.51539475559289e-5
27	9664238	10345668	2298	534	0	0	0	0	0	FALSE	1.92997697558098e-5	2.09014923385288e-5
28	10345749	10653204	829	223	0	0	0	0	0	FALSE	1.00391228123774e-5	1.8054099888978e-5
29	10655503	10866145	665	183	0	0	0	0	0	FALSE	6.12258114483717e-6	1.05162863691829e-5
30	10877889	10922939	90	28	0	0	0	0	0	FALSE	1.66089886874758e-6	7.26905569573774e-6
31	10924817	10992715	127	36	0	0	0	0	0	FALSE	1.33035943037036e-6	5.56041087396368e-6
32	10995145	11613169	1842	424	0	0	0	0	0	FALSE	1.43899301946094e-5	1.80245683784281e-5
33	11614838	11646567	123	30	0	0	0	0	0	FALSE	8.1101403232797e-7	3.83176718259203e-6
34	11647492	11758792	248	67	0	0	0	0	0	FALSE	2.68382047146858e-6	9.56838401699906e-6
35	11759483	12773977	3475	827	0	0	0	0	0	FALSE	3.09589913053531e-5	2.69924540785571e-5
36	12775675	12789730	58	17	0	0	0	0	0	FALSE	4.95940502376765e-7	2.86998779540882e-6
37	12792134	13147485	1264	246	0	0	0	0	0	FALSE	8.2571976398514e-6	1.34488430603518e-5
38	13147675	13213793	241	41	0	0	0	0	0	FALSE	1.53175119547893e-6	5.22118458107888e-6
39	13215656	13979558	2545	569	0	0	0	0	0	FALSE	1.88908137062117e-5	1.90122526210823e-5
40	13980581	16018589	2992	685	0	0	0	0	0	FALSE	2.77196675724989e-5	2.65024993512475e-5
41	16020188	16656040	851	198	0	0	0	0	0	FALSE	6.06979458356155e-6	1.05380284509244e-5
42	16831091	17336793	1322	321	0	0	0	0	0	FALSE	1.15017983832073e-5	1.64905783557559e-5
43	17337426	17645383	631	192	0	0	0	0	0	FALSE	8.52704016094868e-6	1.60757343223179e-5
44	17645690	18061010	1139	215	0	0	0	0	0	FALSE	7.05830876137219e-6	1.16317793662479e-5
45	18067234	19189303	1052	163	0	0	0	0	0	FALSE	7.65182623101e-6	1.53788061142412e-5
46	19190417	19243076	67	31	0	0	0	0	0	FALSE	9.12907044300916e-7	3.8408306408640396e-06
47	19243449	20146847	2270	452	0	0	0	0	0	FALSE	1.64458766710646e-5	1.92725861569253e-5
48	20151123	20266173	329	52	0	0	0	0	0	FALSE	1.5104654693394e-6	5.1751362907107e-6
49	20267174	21242255	2202	384	0	0	0	0	0	FALSE	1.67308799023754e-5	2.19615521641101e-5
50	21242377	22817421	1063	381	0	0	0	0	0	FALSE	1.45654387236243e-5	2.27819200521455e-5
51	22818113	22859003	118	33	0	0	0	0	0	FALSE	9.18911657492016e-7	3.71901232196646e-6
52	22860418	23369067	1265	278	0	0	0	0	0	FALSE	1.47344874059194e-5	2.12306228925718e-5
53	23374396	24135861	1974	401	0	0	0	0	0	FALSE	1.80149678328205e-5	2.30200591456494e-5
54	24137448	24370334	508	172	0	0	0	0	0	FALSE	5.74419094930251e-6	1.02237634884592e-5
55	24370569	25073173	1537	395	0	0	0	0	0	FALSE	1.81102574026924e-5	2.25879200620964e-5
56	25077424	25740158	1904	348	0	0	0	0	0	FALSE	1.75084526178563e-5	2.24331260325493e-5
57	25742164	25789337	113	44	0	0	0	0	0	FALSE	6.79449186787745e-6	1.96476712791441e-5
58	25790235	26130825	1042	327	0	0	0	0	0	FALSE	1.21053650837782e-5	1.60837783384455e-5
59	26131207	26796643	1854	561	0	0	0	0	0	FALSE	3.00385018174808e-5	3.33844551385584e-5
60	26798096	27024299	799	185	0	0	0	0	0	FALSE	1.00676281005782e-5	1.75093108633377e-5
61	27026342	27095271	223	68	0	0	0	0	0	FALSE	4.32367076884399e-6	1.22340161514783e-5
62	27096321	27192719	242	73	0	0	0	0	0	FALSE	2.30259357564266e-6	6.23590575978209e-6
63	27200819	28019940	1519	474	0	0	0	0	0	FALSE	2.03948834057527e-5	2.32816509099894e-5
64	28021611	29628208	1510	255	0	0	0	0	0	FALSE	1.89621209736416e-5	3.08454571129086e-5
65	29631150	31379355	1580	356	0	0	0	0	0	FALSE	3.62429157731833e-5	4.42162810075868e-5
66	31384648	49008962	5040	949	0	0	0	0	0	FALSE	5.57479494129882e-5	4.48219369426635e-5
67	49009141	49521293	1091	277	0	0	0	0	0	FALSE	1.564238354292e-5	2.45665492888188e-5
