block	start	stop	num_variants	num_variants_in	num_variants_in_0.95	num_variants_in_0.5	num_CS95	num_variants_CS95	num_variants_in_CS95	risk	h2_beta_mean	h2_beta_sd
1	834	147237	409	150	0	0	0	0	0	FALSE	5.00722207189833e-5	6.75544761352207e-5
2	148082	185751	102	41	0	0	0	0	0	FALSE	2.46710405831288e-5	5.36108610726973e-5
3	186183	825983	1678	451	0	1	1	8	2	TRUE	6.96330190782302e-4	1.46216995253297e-4
4	826507	931002	225	78	0	0	0	0	0	FALSE	4.10156202019849e-6	1.13043822371772e-5
5	931993	1485782	1459	476	0	0	0	0	0	FALSE	3.32809316135003e-5	3.72540224212908e-5
6	1487433	1594411	245	81	0	0	0	0	0	FALSE	2.60539108668118e-6	7.15880759411226e-6
7	1602084	2777685	2590	716	0	0	0	0	0	FALSE	3.90003089401856e-5	3.81426740655797e-5
8	2778873	2846004	134	48	0	0	0	0	0	FALSE	2.12980008379329e-6	7.58802505743477e-6
9	2846433	3428176	1759	316	0	0	0	0	0	FALSE	1.4771196420105e-5	2.20364634956332e-5
10	3429303	3703782	731	223	0	0	0	0	0	FALSE	7.6499446298672e-6	1.24117226353224e-5
11	3705526	3747698	102	21	0	0	0	0	0	FALSE	4.89291180335678e-7	2.31677081642954e-6
12	3759459	3800118	70	39	0	0	0	0	0	FALSE	1.32940758128577e-6	5.1921526928672e-6
13	3803663	4398544	1571	367	0	0	0	0	0	FALSE	2.40010274162322e-5	3.36101895679857e-5
14	4400333	4455266	117	49	0	0	0	0	0	FALSE	1.51910359238633e-6	5.34723235621197e-6
15	4457571	4517325	151	52	0	0	0	0	0	FALSE	1.98863734674581e-6	7.65998613025499e-6
16	4519139	4653714	304	79	0	0	0	0	0	FALSE	3.83911250687539e-6	1.12107612850751e-5
17	4655982	5734100	3419	770	0	0	0	0	0	FALSE	3.11923623858904e-5	3.31857366418381e-5
18	5737583	5959278	498	162	0	0	0	0	0	FALSE	5.42170593099196e-6	1.05971642147536e-5
19	5960756	6009003	52	31	0	0	0	0	0	FALSE	2.17784917333943e-6	9.0846302976993e-6
20	6011301	6586754	1560	397	0	0	0	0	0	FALSE	2.37917234535301e-5	2.89174338582442e-5
21	6588847	6846227	615	167	0	0	0	0	0	FALSE	6.40692803690398e-6	1.1923165844133e-5
22	6846575	7059503	410	140	0	0	0	0	0	FALSE	8.54373175162434e-6	1.75243663100304e-5
23	7063555	7250882	275	111	0	0	0	0	0	FALSE	4.71035244119802e-5	6.42239868106125e-5
24	7251713	8007416	1661	420	2	2	2	21	2	TRUE	7.11489447661775e-4	1.59895600368526e-4
25	8008535	8752915	1547	388	0	0	0	0	0	FALSE	2.47663868371174e-5	3.20647765634227e-5
26	8755753	9105583	821	258	0	0	0	0	0	FALSE	7.27786003357517e-5	6.59089178161135e-5
27	9105723	9181459	160	65	0	0	0	0	0	FALSE	2.49001849206145e-6	7.60267927098472e-6
28	9188891	9487085	495	131	0	0	0	0	0	FALSE	6.46723799285614e-6	1.43781476567685e-5
29	9491125	9722915	508	134	0	0	0	0	0	FALSE	4.25633810502535e-6	8.97742418253858e-6
30	9723556	9877481	368	101	0	0	0	0	0	FALSE	4.02423675986159e-6	1.16378660661407e-5
31	9877812	10006276	356	88	0	0	0	0	0	FALSE	2.83049208294044e-6	7.60351498078829e-6
32	10007574	10183031	569	193	0	0	0	0	0	FALSE	8.22600564872385e-6	1.45854941055803e-5
33	10183142	10571980	842	175	0	0	0	0	0	FALSE	8.94140656806903e-6	1.75403270694294e-5
34	10574109	10885809	693	167	0	0	0	0	0	FALSE	5.60736543968965e-6	1.016398311928e-5
35	10887822	11096610	433	115	0	0	0	0	0	FALSE	6.21628724777101e-6	1.4073425610165e-5
36	11104942	11525314	1033	285	0	0	0	0	0	FALSE	1.35267069370345e-5	2.01744692305058e-5
37	11526904	12048104	956	208	0	0	0	0	0	FALSE	7.26419928205658e-6	1.27071728827922e-5
38	12049496	12341836	650	151	0	0	0	0	0	FALSE	1.05710441512833e-5	2.08734777885179e-5
39	12343709	12665764	600	164	0	0	0	0	0	FALSE	2.57703823646983e-5	4.04919254040325e-5
40	12667536	13179558	1609	389	0	0	0	0	0	FALSE	1.93349361156595e-5	2.47688106709425e-5
41	13180735	13314424	395	105	0	0	0	0	0	FALSE	3.97163480625263e-6	9.09969993196012e-6
42	13317195	13645880	1101	274	0	0	0	0	0	FALSE	1.04662658623354e-5	1.60082388299915e-5
43	13648059	13672047	102	24	0	0	0	0	0	FALSE	6.92522622029263e-7	3.33715393788353e-6
44	13676016	13813530	428	113	0	0	0	0	0	FALSE	3.44512942916422e-6	7.78809889175017e-6
45	13815005	14263036	1168	308	0	0	0	0	0	FALSE	1.0071076193378e-5	1.42920284773982e-5
46	14266938	14498924	572	110	0	0	0	0	0	FALSE	3.60871106011629e-6	8.05345079830323e-6
47	14508723	14600944	381	42	0	0	0	0	0	FALSE	4.18870543122926e-6	1.28343942632341e-5
48	14601769	14646929	131	41	0	0	0	0	0	FALSE	2.25134376430209e-6	9.19760242028153e-6
49	14647200	15303769	1885	479	0	0	0	0	0	FALSE	1.63474375763717e-5	1.83233066962949e-5
50	15306819	16411387	2057	382	0	0	0	0	0	FALSE	1.85251274869344e-5	2.30750288803017e-5
51	16412352	17298645	1644	342	0	0	0	0	0	FALSE	1.75546956380022e-5	2.68256655433717e-5
52	17300368	18883659	2304	441	0	0	0	0	0	FALSE	9.27052260705807e-5	6.3199653964752e-5
53	18893514	21284802	2975	567	0	0	0	0	0	FALSE	2.15430992848652e-5	2.24335566418534e-5
54	21286805	25874456	2953	383	0	0	0	0	0	FALSE	1.43615071721131e-5	1.77380244203148e-5
55	25875342	26272577	763	188	0	0	0	0	0	FALSE	5.13380826128511e-6	8.52887346798725e-6
56	26274785	29915011	5164	990	0	0	0	0	0	FALSE	1.25117924450195e-4	8.4818117607243e-5
57	29915990	30878170	2019	469	1	1	1	13	1	TRUE	2.48968452092876e-4	9.87051098622658e-5
58	30881674	30899045	80	27	0	0	0	0	0	FALSE	1.53602679601997e-6	6.64631505070744e-6
59	30899334	31321088	734	117	0	0	0	0	0	FALSE	9.89023238672513e-6	2.46396108401029e-5
60	31321391	31817061	1234	366	0	0	0	0	0	FALSE	1.57203272497879e-5	2.29762075207925e-5
61	31818917	32059564	691	172	0	0	0	0	0	FALSE	8.15635979162209e-6	1.57657225552182e-5
