block	start	stop	num_variants	num_variants_in	num_variants_in_0.95	num_variants_in_0.5	num_CS95	num_variants_CS95	num_variants_in_CS95	risk	h2_beta_mean	h2_beta_sd
1	61098	348365	826	209	0	0	0	0	0	FALSE	1.01213502783358e-5	1.80335125890021e-5
2	349306	647736	514	216	0	0	0	0	0	FALSE	7.44716480557509e-6	1.26020803209842e-5
3	648816	774760	353	122	0	0	0	0	0	FALSE	4.35055612224686e-6	9.32339638389133e-6
4	778696	893411	311	124	0	0	0	0	0	FALSE	8.87800904778585e-6	2.04680249611995e-5
5	894125	985530	294	116	0	0	0	0	0	FALSE	6.99147592247788e-6	1.47844129884137e-5
6	991284	1167239	356	120	0	0	0	0	0	FALSE	4.55755342198833e-6	9.70852533980845e-6
7	1167565	1792434	1624	444	0	0	0	0	0	FALSE	1.56673734984697e-5	1.78894978648051e-5
8	1794342	1907716	243	79	0	0	0	0	0	FALSE	3.60731594501328e-6	1.02845408183577e-5
9	1908299	2310725	943	233	0	0	0	0	0	FALSE	8.57504725066137e-6	1.35055889118708e-5
10	2312962	2663305	960	225	0	0	0	0	0	FALSE	7.32108670249627e-6	1.20388644713882e-5
11	2667729	3046312	638	177	0	0	0	0	0	FALSE	1.09247523657688e-5	2.14780384708763e-5
12	3053255	3833748	2067	456	0	0	0	0	0	FALSE	2.39231867224796e-5	2.66308734785283e-5
13	3835821	4113582	870	180	0	0	0	0	0	FALSE	5.72086153456532e-6	1.01151073855982e-5
14	4114498	4461386	891	271	0	0	0	0	0	FALSE	9.27906028157141e-6	1.36525563026331e-5
15	4464834	4595503	317	62	0	0	0	0	0	FALSE	3.56593589486717e-6	1.06565311400724e-5
16	4596340	4705274	385	109	0	0	0	0	0	FALSE	4.38157532547989e-6	1.07518674202677e-5
17	4705364	4826400	415	114	0	0	0	0	0	FALSE	4.02997770113534e-6	8.94233094581883e-6
18	4827334	5024384	353	114	0	0	0	0	0	FALSE	1.21539296096105e-5	3.21547081973645e-5
19	5029207	5213416	416	61	0	0	0	0	0	FALSE	2.13561369464141e-6	7.42301309515236e-6
20	5214713	5670789	1246	234	0	0	0	0	0	FALSE	1.04764633029714e-5	1.92264468683199e-5
21	5675623	5787336	294	85	0	0	0	0	0	FALSE	2.62697594345814e-6	6.54500269135383e-6
22	5787785	5837115	152	36	0	0	0	0	0	FALSE	9.76379726456961e-7	3.72993820329572e-6
23	5838145	6122238	905	199	0	0	0	0	0	FALSE	4.07179708574336e-5	5.53499252544583e-5
24	6123452	6640836	1179	227	0	0	0	0	0	FALSE	1.14766805465639e-5	1.86092868103798e-5
25	6641051	6810998	320	121	0	0	0	0	0	FALSE	5.2344767600554e-6	1.10857555140206e-5
26	6811164	7078143	634	146	0	0	0	0	0	FALSE	4.50989807518079e-6	9.16364728489907e-6
27	7085280	7703590	1613	262	0	0	0	0	0	FALSE	1.11907805489614e-5	1.73558351748967e-5
28	7707437	7957151	619	69	0	0	0	0	0	FALSE	3.59530118742961e-6	9.90108365441856e-6
29	7957577	8525628	1185	317	0	0	0	0	0	FALSE	1.37080354420018e-5	1.91436956869771e-5
30	8527885	9281936	1966	412	0	0	0	0	0	FALSE	1.97519277096974e-5	2.63017814104348e-5
31	9283200	9726956	1026	253	0	0	0	0	0	FALSE	1.00562548429117e-5	1.57813032497645e-5
32	9731193	10046828	864	195	0	0	0	0	0	FALSE	5.99580449323166e-6	1.01713040587015e-5
33	10048228	10133139	233	58	0	0	0	0	0	FALSE	2.24336572788337e-6	6.78926503585413e-6
34	10140090	10281370	216	67	0	0	0	0	0	FALSE	2.78644567318687e-6	7.94705033013277e-6
35	10281572	11015371	1776	448	0	0	0	0	0	FALSE	6.45777275894453e-5	5.99349941867145e-5
36	11015873	11139280	282	61	0	0	0	0	0	FALSE	1.5381273985187e-6	4.36388514709032e-6
37	11140477	11243052	231	51	0	0	0	0	0	FALSE	2.23609593962414e-6	7.73826315312103e-6
38	11243745	12348447	2907	608	0	0	0	0	0	FALSE	2.53326914458375e-5	2.59033624007677e-5
39	12355399	12637470	931	148	0	0	0	0	0	FALSE	7.09855439556987e-6	1.5115987147288e-5
40	12639902	12720395	319	63	0	0	0	0	0	FALSE	1.98709809635e-6	5.83914175073777e-6
